Description,PromoCode,DistributorLegacyNumber,OrderHeaderLegacyNumber,CreatedDate
PlanDeLealtadDIB,PlanDeLealtadDIB,1610693,445405162712,Tue Jun 30 2020 19:00:24 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708877,445406226546,Tue Jun 30 2020 19:01:13 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1594584,445408126010,Tue Jun 30 2020 19:03:28 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708584,445409226252,Tue Jun 30 2020 19:04:30 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708770,445410226439,Tue Jun 30 2020 19:05:07 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1700175,445411207660,Tue Jun 30 2020 19:06:05 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1303528,445412106089,Tue Jun 30 2020 19:07:19 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1434528,44541496068,Tue Jun 30 2020 19:08:57 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1703214,445415214474,Tue Jun 30 2020 19:09:51 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708878,445416226547,Tue Jun 30 2020 19:10:24 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1704104,445420215364,Tue Jun 30 2020 19:13:24 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708192,445424225860,Tue Jun 30 2020 19:15:08 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707433,445426224823,Tue Jun 30 2020 19:16:36 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1415158,44542757572,Tue Jun 30 2020 19:16:52 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1706800,445428221946,Tue Jun 30 2020 19:17:29 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1423248,44542967588,Tue Jun 30 2020 19:20:08 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707945,445430225613,Tue Jun 30 2020 19:20:12 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1704104,445431215364,Tue Jun 30 2020 19:20:28 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1401632,44543231671,Tue Jun 30 2020 19:20:53 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1609202,445433159385,Tue Jun 30 2020 19:21:31 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707261,445434224421,Tue Jun 30 2020 19:21:55 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707814,445435225205,Tue Jun 30 2020 19:22:17 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707771,445436225162,Tue Jun 30 2020 19:23:43 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707823,445437225214,Tue Jun 30 2020 19:23:46 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707774,445438225165,Tue Jun 30 2020 19:25:29 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1618010,445439187513,Tue Jun 30 2020 19:25:57 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708751,445441226420,Tue Jun 30 2020 19:26:30 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1605290,445442156186,Tue Jun 30 2020 19:26:35 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707824,445443225215,Tue Jun 30 2020 19:27:08 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708563,445444226231,Tue Jun 30 2020 19:28:05 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708651,445445226319,Tue Jun 30 2020 19:28:13 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707865,445446225256,Tue Jun 30 2020 19:28:57 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1706675,445447221819,Tue Jun 30 2020 19:29:34 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708652,445448226320,Tue Jun 30 2020 19:29:41 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708168,445450225836,Tue Jun 30 2020 19:30:21 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708860,445451226529,Tue Jun 30 2020 19:30:38 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708743,445452226412,Tue Jun 30 2020 19:30:58 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708231,445453225899,Tue Jun 30 2020 19:32:10 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1701081,445454208566,Tue Jun 30 2020 19:32:39 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708791,445455226460,Tue Jun 30 2020 19:33:07 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1706943,445457222196,Tue Jun 30 2020 19:34:05 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708232,445458225900,Tue Jun 30 2020 19:34:09 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,47667,44545948975,Tue Jun 30 2020 19:36:05 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707044,445460222297,Tue Jun 30 2020 19:36:18 GMT-0500 (GMT-05:00)
PlanDeLealtadCP,PlanDeLealtadCP,1704920,445461218011,Tue Jun 30 2020 19:37:34 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1599473,445462140073,Tue Jun 30 2020 19:38:45 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1438117,445463108301,Tue Jun 30 2020 19:39:45 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1595367,445464137073,Tue Jun 30 2020 19:39:59 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1595367,445466137073,Tue Jun 30 2020 19:40:52 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,64460,44546839964,Tue Jun 30 2020 19:44:22 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1613417,445469163636,Tue Jun 30 2020 19:44:30 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708728,445470226397,Tue Jun 30 2020 19:45:14 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708600,445471226268,Tue Jun 30 2020 19:47:13 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1422330,44547265944,Tue Jun 30 2020 19:47:19 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1606964,445473165192,Tue Jun 30 2020 19:48:00 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1703266,445474214526,Tue Jun 30 2020 19:48:25 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708865,445475226534,Tue Jun 30 2020 19:49:40 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1438117,445476108301,Tue Jun 30 2020 19:50:28 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1703690,445477214950,Tue Jun 30 2020 19:50:33 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708627,445478226295,Tue Jun 30 2020 19:50:40 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708819,445479226488,Tue Jun 30 2020 19:51:05 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708072,445482225740,Tue Jun 30 2020 19:57:37 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1610730,445483162749,Tue Jun 30 2020 19:58:04 GMT-0500 (GMT-05:00)
,PlanDeLealtadPisa ,107645,44548441778,Tue Jun 30 2020 19:59:59 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1701081,445485208566,Tue Jun 30 2020 20:01:10 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,14375,44548632548,Tue Jun 30 2020 20:01:34 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1703167,445488214427,Tue Jun 30 2020 20:04:19 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1706681,445490221825,Tue Jun 30 2020 20:07:25 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1595079,445491136480,Tue Jun 30 2020 20:07:38 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1599669,445492140623,Tue Jun 30 2020 20:07:45 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1701081,445493208566,Tue Jun 30 2020 20:10:41 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,47667,44549548975,Tue Jun 30 2020 20:11:22 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1294,44549632503,Tue Jun 30 2020 20:14:00 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708282,445497225950,Tue Jun 30 2020 20:15:28 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708660,445498226328,Tue Jun 30 2020 20:16:04 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708646,445499226314,Tue Jun 30 2020 20:18:54 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708483,445501226151,Tue Jun 30 2020 20:20:38 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708771,445500226440,Tue Jun 30 2020 20:20:39 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708067,445502225735,Tue Jun 30 2020 20:20:42 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,64460,44550339964,Tue Jun 30 2020 20:21:43 GMT-0500 (GMT-05:00)
,PlanDeLealtadBL,1500022,445506122050,Tue Jun 30 2020 20:30:54 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708893,445507226562,Tue Jun 30 2020 20:30:59 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1368623,445508195356,Tue Jun 30 2020 20:33:04 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708441,445509226109,Tue Jun 30 2020 20:34:12 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708727,445511226396,Tue Jun 30 2020 20:39:09 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1705941,445512219032,Tue Jun 30 2020 20:39:51 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708892,445513226561,Tue Jun 30 2020 20:41:30 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1706979,445515222232,Tue Jun 30 2020 20:51:10 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1375193,445519204207,Tue Jun 30 2020 21:01:21 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708784,445520226453,Tue Jun 30 2020 21:03:36 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1702541,445524213801,Tue Jun 30 2020 21:09:07 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708513,445525226181,Tue Jun 30 2020 21:10:32 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708873,445528226542,Tue Jun 30 2020 21:14:25 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707486,445529224876,Tue Jun 30 2020 21:16:31 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1703431,445537214691,Tue Jun 30 2020 21:35:24 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707564,445539224954,Tue Jun 30 2020 21:42:33 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708596,445541226264,Tue Jun 30 2020 21:45:38 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1703431,445542214691,Tue Jun 30 2020 21:45:57 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1407938,44554440464,Tue Jun 30 2020 21:59:08 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1375192,445546204206,Tue Jun 30 2020 22:02:25 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708884,445550226553,Tue Jun 30 2020 22:12:23 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708392,445551226060,Tue Jun 30 2020 22:14:16 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708645,445553226313,Tue Jun 30 2020 22:17:26 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1599468,445554140068,Tue Jun 30 2020 22:18:34 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708897,445556226566,Tue Jun 30 2020 22:20:39 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708648,445557226316,Tue Jun 30 2020 22:21:06 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1705915,445558219006,Tue Jun 30 2020 22:23:14 GMT-0500 (GMT-05:00)
