Description,PromoCode,DistributorLegacyNumber,OrderHeaderLegacyNumber,CreatedDate
PlanDeLealtadDIB,PlanDeLealtadDIB,1706882,437097222135,Sun May 31 2020 19:13:40 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,19539,43710033150,Sun May 31 2020 19:37:23 GMT-0500 (GMT-05:00)
En la compra a través de la web recibe un 42% descuento.,PROMOWEB37,19539,43710033150,Sun May 31 2020 19:37:23 GMT-0500 (GMT-05:00)
En la compra a través de la web recibe un 37% descuento.,PROMOWEB30 ,1598604,437102148739,Sun May 31 2020 19:45:22 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1598604,437102148739,Sun May 31 2020 19:45:22 GMT-0500 (GMT-05:00)
En la compra a través de la web recibe un 42% descuento.,PROMOWEB37,1609894,437103161182,Sun May 31 2020 19:55:57 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1609894,437103161182,Sun May 31 2020 19:55:57 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1706478,437105221621,Sun May 31 2020 20:06:42 GMT-0500 (GMT-05:00)
PlanDeLealtadCP,PlanDeLealtadCP,1706771,437106221917,Sun May 31 2020 20:57:52 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707224,437109224322,Sun May 31 2020 21:21:00 GMT-0500 (GMT-05:00)
En la compra a través de la web recibe un 37% descuento.,PROMOWEB30 ,1707561,437110224951,Sun May 31 2020 21:22:00 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707140,437107222396,Sun May 31 2020 21:27:53 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707542,437114224932,Sun May 31 2020 22:23:08 GMT-0500 (GMT-05:00)
En la compra a través de la web recibe un 37% descuento.,PROMOWEB30 ,1707542,437114224932,Sun May 31 2020 22:23:08 GMT-0500 (GMT-05:00)
En la compra a través de la web recibe un 37% descuento.,PROMOWEB30 ,1707563,437116224953,Sun May 31 2020 22:51:20 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1611838,437117170470,Sun May 31 2020 23:01:49 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1609058,437115159244,Sun May 31 2020 23:04:47 GMT-0500 (GMT-05:00)
En la compra a través de la web recibe un 37% descuento.,PROMOWEB30 ,1609058,437115159244,Sun May 31 2020 23:04:47 GMT-0500 (GMT-05:00)
En la compra a través de la web recibe un 37% descuento.,PROMOWEB30 ,1707564,437119224954,Sun May 31 2020 23:13:02 GMT-0500 (GMT-05:00)
En la compra a través de la web recibe un 42% descuento.,PROMOWEB35 ,1705723,437120218814,Sun May 31 2020 23:15:44 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1705723,437120218814,Sun May 31 2020 23:15:44 GMT-0500 (GMT-05:00)
En la compra a través de la web recibe un 37% descuento.,PROMOWEB30 ,1706305,437122221447,Sun May 31 2020 23:27:19 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1706305,437122221447,Sun May 31 2020 23:27:19 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1704763,437123217854,Sun May 31 2020 23:47:51 GMT-0500 (GMT-05:00)
En la compra a través de la web recibe un 37% descuento.,PROMOWEB30 ,1704763,437123217854,Sun May 31 2020 23:47:51 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1400778,43712931334,Mon Jun 01 2020 08:36:40 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1613925,437130164506,Mon Jun 01 2020 08:41:07 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1704930,437131218021,Mon Jun 01 2020 08:44:30 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1602180,437132151000,Mon Jun 01 2020 09:02:58 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1703016,437133214276,Mon Jun 01 2020 09:04:25 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,32898,43713436431,Mon Jun 01 2020 09:10:39 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1446475,437135118398,Mon Jun 01 2020 09:17:31 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1442155,437136105308,Mon Jun 01 2020 09:17:37 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1614675,437137176005,Mon Jun 01 2020 09:19:35 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1602612,437138151768,Mon Jun 01 2020 09:21:29 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1446550,437139118473,Mon Jun 01 2020 09:22:00 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1414379,43714056089,Mon Jun 01 2020 09:29:13 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1702344,437141213604,Mon Jun 01 2020 09:31:39 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1593958,437142135261,Mon Jun 01 2020 09:32:51 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1446550,437143118473,Mon Jun 01 2020 09:41:36 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,27967,43714434940,Mon Jun 01 2020 09:49:41 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1608494,437145168186,Mon Jun 01 2020 09:50:17 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,27967,43714634940,Mon Jun 01 2020 09:52:19 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1602946,437147152448,Mon Jun 01 2020 09:56:53 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1373469,437148203342,Mon Jun 01 2020 10:00:41 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1607794,437149166754,Mon Jun 01 2020 10:03:16 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1408976,43715051466,Mon Jun 01 2020 10:04:14 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1346619,437151177178,Mon Jun 01 2020 10:05:12 GMT-0500 (GMT-05:00)
PlanDeLealtadCP,PlanDeLealtadCP,1706694,437152221838,Mon Jun 01 2020 10:07:31 GMT-0500 (GMT-05:00)
PlanDeLealtadCP,PlanDeLealtadCP,1706694,437153221838,Mon Jun 01 2020 10:10:02 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1450032,437154120711,Mon Jun 01 2020 10:10:37 GMT-0500 (GMT-05:00)
