Description,PromoCode,DistributorLegacyNumber,OrderHeaderLegacyNumber,CreatedDate
PlanDeLealtadDIB,PlanDeLealtadDIB,1707770,455851225161,Fri Jul 31 2020 19:07:53 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,20851,45585331792,Fri Jul 31 2020 19:11:24 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1710614,455855228392,Fri Jul 31 2020 19:11:46 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1710638,455856228416,Fri Jul 31 2020 19:13:27 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1700308,455857207793,Fri Jul 31 2020 19:14:45 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1598695,455858148821,Fri Jul 31 2020 19:14:52 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1598695,455859148821,Fri Jul 31 2020 19:16:47 GMT-0500 (GMT-05:00)
PlanDeLealtadCP,PlanDeLealtadCP,1705699,455860218790,Fri Jul 31 2020 19:19:35 GMT-0500 (GMT-05:00)
PlanDeLealtadCP,PlanDeLealtadCP,1709782,455861227560,Fri Jul 31 2020 19:22:18 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1605533,455863156793,Fri Jul 31 2020 19:25:53 GMT-0500 (GMT-05:00)
,PlanDeLealtadBL,409710,45586463570,Fri Jul 31 2020 19:26:01 GMT-0500 (GMT-05:00)
PlanDeLealtadCP,PlanDeLealtadCP,1709782,455865227560,Fri Jul 31 2020 19:26:18 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707885,455866225276,Fri Jul 31 2020 19:32:36 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708919,455868226588,Fri Jul 31 2020 19:33:40 GMT-0500 (GMT-05:00)
,PlanDeLealtadPisa ,800322,45587079648,Fri Jul 31 2020 19:34:38 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1710621,455871228399,Fri Jul 31 2020 19:35:24 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1706632,455872221776,Fri Jul 31 2020 19:36:46 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707492,455873224882,Fri Jul 31 2020 19:36:54 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1710626,455874228404,Fri Jul 31 2020 19:37:27 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1709885,455875227663,Fri Jul 31 2020 19:38:07 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1706632,455876221776,Fri Jul 31 2020 19:40:14 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1709885,455877227663,Fri Jul 31 2020 19:40:45 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1706478,455879221621,Fri Jul 31 2020 19:43:49 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1709200,455880226884,Fri Jul 31 2020 19:45:09 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1607794,455881166754,Fri Jul 31 2020 19:45:24 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1709594,455882227372,Fri Jul 31 2020 19:46:02 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1709589,455883227367,Fri Jul 31 2020 19:47:23 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1606834,455884155425,Fri Jul 31 2020 19:48:19 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708969,455886226638,Fri Jul 31 2020 19:49:54 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1342380,455887171393,Fri Jul 31 2020 19:50:50 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1708817,455888226486,Fri Jul 31 2020 19:52:27 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,20851,45588931792,Fri Jul 31 2020 19:59:42 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1710701,455891228479,Fri Jul 31 2020 20:00:10 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1710702,455892228480,Fri Jul 31 2020 20:00:30 GMT-0500 (GMT-05:00)
PlanDeLealtadCP,PlanDeLealtadCP,1709551,455893227329,Fri Jul 31 2020 20:01:06 GMT-0500 (GMT-05:00)
PlanDeLealtadCP,PlanDeLealtadCP,1704394,455895215654,Fri Jul 31 2020 20:02:00 GMT-0500 (GMT-05:00)
